node_id,career_id,skill_group,name,node_level,stage,axis,node_kind,is_optional,is_checkpoint,selection,choose_count,weight,completion_policy,required_proficiency,evidence_keywords,parent_id,previous_id,description,link1,link2,link3
frontend-internet,frontend,Web & Networking Fundamentals,Internet,1,FOUNDATION,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"internet,http,dns,domain,hosting,browser,tcp,ip",,,"The Internet is a global network of interconnected computers using TCP/IP protocols, connecting billions of devices worldwide. Revolutionized communication, commerce, education, and entertainment. Enables web browsing, streaming, and diverse applications while presenting privacy and security challenges.",https://roadmap.sh/guides/what-is-internet,https://en.wikipedia.org/wiki/Internet,
frontend-how-does-the-internet-work,frontend,Web & Networking Fundamentals,How does the internet work?,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-internet,,"The internet is a global network connecting computers and devices for information sharing. Enables browsing, email, streaming, and communication through interconnected systems. Acts as worldwide infrastructure facilitating access to online resources and services.",https://roadmap.sh/guides/what-is-internet,https://cs.fyi/guide/how-does-internet-work,https://developer.mozilla.org/en-US/docs/Learn/Common_questions/How_does_the_Internet_work
frontend-what-is-http,frontend,Web & Networking Fundamentals,What is HTTP?,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-internet,,"HTTP (Hypertext Transfer Protocol) enables browser-server communication through requests and responses. Stateless protocol using methods like GET and POST. HTTPS provides encrypted security. Newer versions (HTTP/2, HTTP/3) offer improved performance. Fundamental for web development understanding.",https://cs.fyi/guide/http-in-depth,https://www.cloudflare.com/en-gb/learning/ddos/glossary/hypertext-transfer-protocol-http/,https://howhttps.works
frontend-what-is-a-domain-name,frontend,Web & Networking Fundamentals,What is a Domain Name?,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-internet,,"Domain names are human-friendly web addresses (e.g., [google.com](http://google.com)) substituting numerical IP addresses. Comprise second-level (""google"") and top-level ("".com"") domains. Registered through registrars, essential for branding and online presence. DNS translates names to IP addresses for accessibility.",http://google.com,https://developer.mozilla.org/en-US/docs/Learn/Common_questions/What_is_a_domain_name,https://www.cloudflare.com/en-gb/learning/dns/glossary/what-is-a-domain-name/
frontend-what-is-hosting,frontend,Web & Networking Fundamentals,What is Hosting?,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-internet,,"Web hosting stores website files on servers, making sites accessible online. Types include shared (multiple sites per server) and dedicated (exclusive server) hosting. Providers offer additional services like email, domains, and security certificates. Critical for website performance and accessibility.",https://www.namecheap.com/hosting/what-is-web-hosting-definition/,https://www.youtube.com/watch?v=AXVZYzw8geg,https://www.youtube.com/watch?v=Kx_1NYYJS7Q
frontend-dns-and-how-it-works,frontend,Web & Networking Fundamentals,DNS and how it works?,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-internet,,"DNS (Domain Name System) translates human-readable domain names into IP addresses through a global, decentralized server network. Enables easy internet navigation by converting names like [www.example.com](http://www.example.com) to numeric addresses browsers can connect to.",http://www.example.com,https://www.cloudflare.com/en-gb/learning/dns/what-is-dns/,https://messwithdns.net/
frontend-browsers-and-how-they-work,frontend,Web & Networking Fundamentals,Browsers and how they work?,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-internet,,"Web browsers request and display websites by interpreting HTML, CSS, and JavaScript. Use rendering engines (Blink, Gecko) for display and JavaScript engines (V8) for code execution. Handle security, bookmarks, history, and user interactions for web navigation.",https://www.ramotion.com/blog/what-is-web-browser/,https://developer.mozilla.org/en-US/docs/Web/Performance/How_browsers_work,https://www.youtube.com/watch?v=5rLFYtXHo9s
frontend-html,frontend,HTML5,HTML,2,FOUNDATION,MAIN,CORE,,,ALL,,3,EVIDENCE_ALLOWED,65,"html,semantic,forms,markup,accessibility,seo",,frontend-internet,"HTML (Hypertext Markup Language) is the standard for creating web pages, structuring content with elements and attributes. Browsers interpret HTML tags to render pages. HTML5, the current standard, adds semantic elements, multimedia support, and form controls. It works with CSS for styling and JavaScript for interactivity, forming web development's foundation.",https://roadmap.sh/html,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://youtu.be/mJgBOIoGihA
frontend-semantic-html,frontend,HTML5,Semantic HTML,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-html,,"HTML (Hypertext Markup Language) is the standard for creating web pages, structuring content with elements and attributes. Browsers interpret HTML tags to render pages. HTML5, the current standard, adds semantic elements, multimedia support, and form controls. It works with CSS for styling and JavaScript for interactivity, forming web development's foundation.",https://roadmap.sh/html,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://youtu.be/mJgBOIoGihA
frontend-forms-and-validation,frontend,HTML5,Forms and Validation,,FOUNDATION,BRANCH,CORE,,,ALL,,1,MANUAL_ONLY,,,frontend-html,,"HTML (Hypertext Markup Language) is the standard for creating web pages, structuring content with elements and attributes. Browsers interpret HTML tags to render pages. HTML5, the current standard, adds semantic elements, multimedia support, and form controls. It works with CSS for styling and JavaScript for interactivity, forming web development's foundation.",https://roadmap.sh/html,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://youtu.be/mJgBOIoGihA
