"name","career_id","importance","category","sources"
"$all","backend","LOW","CONCEPT","roadmap"
"$and","backend","LOW","CONCEPT","roadmap"
"$elemMatch","backend","LOW","CONCEPT","roadmap"
"$eq","backend","LOW","LANGUAGE","roadmap"
"$exclude","backend","LOW","CONCEPT","roadmap"
"$exists","backend","LOW","CONCEPT","roadmap"
"$group","backend","LOW","CONCEPT","roadmap"
"$gt","backend","LOW","CONCEPT","roadmap"
"$gte","backend","LOW","CONCEPT","roadmap"
"$in","backend","LOW","CONCEPT","roadmap"
"$include","backend","LOW","CONCEPT","roadmap"
"$limit","backend","LOW","CONCEPT","roadmap"
"$lookup","backend","LOW","CONCEPT","roadmap"
"$lt","backend","LOW","CONCEPT","roadmap"
"$lte","backend","LOW","CONCEPT","roadmap"
"$match","backend","LOW","CONCEPT","roadmap"
"$ne","backend","LOW","CONCEPT","roadmap"
"$nin","backend","LOW","CONCEPT","roadmap"
"$nor","backend","LOW","CONCEPT","roadmap"
"$not","backend","LOW","CONCEPT","roadmap"
"$or","backend","LOW","CONCEPT","roadmap"
"$project","backend","LOW","CONCEPT","roadmap"
"$regex","backend","LOW","LIBRARY","roadmap"
"$size","backend","LOW","CONCEPT","roadmap"
"$skip","backend","LOW","CONCEPT","roadmap"
"$slice","backend","LOW","LANGUAGE","roadmap"
"$type","backend","LOW","CONCEPT","roadmap"
"$unwind","backend","LOW","CONCEPT","roadmap"
"--watch","backend","LOW","CONCEPT","roadmap"
"@if","backend","AVG","CONCEPT","roadmap"
"@MockBean Annotation","backend","LOW","TESTING","roadmap"
"@SpringBootTest Annotation","backend","LOW","TESTING","roadmap"
"[global] keyword","backend","LOW","CONCEPT","roadmap"
"`context` Package","backend","LOW","CONCEPT","roadmap"
"`error` interface","backend","LOW","CONCEPT","roadmap"
"`panic` and `recover`","backend","LOW","CONCEPT","roadmap"
"`sync` Package","backend","LOW","CONCEPT","roadmap"
"`testing` package basics","backend","LOW","CONCEPT","roadmap"
"ABS","backend","LOW","CONCEPT","roadmap"
"Abstract Class","backend","LOW","CONCEPT","roadmap"
"Abstraction","backend","LOW","CONCEPT","roadmap"
"ACID","backend","LOW","CONCEPT","roadmap"
"Action Views","backend","LOW","CONCEPT","roadmap"
"Active Record","backend","LOW","CONCEPT","roadmap"
"Active-Active geo Distribution","backend","LOW","CONCEPT","roadmap"
"ActiveMQ","backend","LOW","CONCEPT","roadmap"
"Actuators","backend","LOW","CONCEPT","roadmap"
"Adding Extra Extensions","backend","LOW","CONCEPT","roadmap"
"Admin Customization","backend","LOW","CONCEPT","roadmap"
"admin.py","backend","LOW","CONCEPT","roadmap"
"Advanced Database Techniques","backend","LOW","DATABASE","roadmap"
"Advanced Functions","backend","LOW","CONCEPT","roadmap"
"Advanced Routing","backend","LOW","CONCEPT","roadmap"
"Advanced SQL","backend","LOW","DATABASE","roadmap"
"Aggregate Queries","backend","LOW","CONCEPT","roadmap"
"Aggregation","backend","LOW","CONCEPT","roadmap"
"Aggregations","backend","LOW","CONCEPT","roadmap"
"AI Assisted Coding","backend","AVG","CONCEPT","roadmap"
"AI Development","backend","LOW","CONCEPT","roadmap"
"AI Providers","backend","LOW","TOOL","roadmap"
"AI-powered Search","backend","AVG","CONCEPT","roadmap"
"aiohttp","backend","LOW","CONCEPT","roadmap"
"Akka & Peko Streams","backend","LOW","CONCEPT","roadmap"
"Alter Table","backend","LOW","LANGUAGE","roadmap"
"Android","backend","HIGH","PLATFORM","market-verified|roadmap"
"Android Studio","backend","LOW","TOOL","roadmap"
"Annotations","backend","LOW","CONCEPT","roadmap"
"Anonymous Func / Lambda","backend","LOW","CONCEPT","roadmap"
"Ansible","backend","AVG","FRAMEWORK","market-legacy|roadmap"
"Anthropic","backend","AVG","CONCEPT","roadmap"
"Antigravity","backend","LOW","CONCEPT","roadmap"
"AOF rewrite & compaction","backend","LOW","CONCEPT","roadmap"
"API Clients and Communication","backend","LOW","TOOL","roadmap"
"API Documentation Tools","backend","LOW","CONCEPT","roadmap"
"API Keys","backend","LOW","CONCEPT","roadmap"
"API Keys & Management","backend","LOW","CONCEPT","roadmap"
"API Lifecycle Management","backend","LOW","CONCEPT","roadmap"
"API Performance","backend","LOW","CONCEPT","roadmap"
"API Styles","backend","LOW","PROTOCOL","roadmap"
"API Testing","backend","LOW","TESTING","roadmap"
"APIs","backend","LOW","CONCEPT","roadmap"
"Apollo Client","backend","AVG","CONCEPT","roadmap"
"Apollo Server","backend","LOW","CONCEPT","roadmap"
"APPEND","backend","LOW","CONCEPT","roadmap"
"Append-Only File (AOF)","backend","LOW","CONCEPT","roadmap"
"Applications","backend","AVG","CONCEPT","roadmap"
"Arc","backend","LOW","LANGUAGE","roadmap"
"Architectural Patterns","backend","AVG","CONCEPT","roadmap"
"Arithmetic","backend","AVG","CONCEPT","roadmap"
"Array Operators","backend","LOW","CONCEPT","roadmap"
"Array vs ArrayList","backend","LOW","CONCEPT","roadmap"
"Arrays and Linked Lists","backend","LOW","CONCEPT","roadmap"
"Artisan","backend","LOW","CONCEPT","roadmap"
"ASP.NET Core Basics","backend","LOW","CONCEPT","roadmap"
